country,excess,actual
Austria,706,29494
Belgium,6092,42968
Brazil,11803,68231
Chile,2144,34378
Denmark,-442,18366
Ecuador,10563,34833
Finland,-498,17293
France,32881,231203
Germany,-5896,290812
Indonesia,4230,14788
Israel,-587,12357
Italy,17494,175631
Netherlands,7688,61074
Norway,-456,13794
Peru,5304,39826
Portugal,607,39320
Russia,843,42887
South Africa,-1249,117822
Spain,28655,171517
Sweden,2114,33694
Switzerland,1364,24359
Turkey,3063,28049
United Kingdom,59701,279382
United States,24674,45086
